# New shock contour (moved by Vs, for hornung_shockfitted_v2_mesh.py)
# Source: RESULTS_SF_v2_RH_dirichlet_2/P1_CNEQ_SF-iter_5000.CFmesh
# dt=6.418191e-07, relax=0.5, max|Vs|=155.81 m/s
# x[m]  y[m]  theta[rad]  r[m]
-1.529371420141e-03 2.529822061283e-02 1.631176557155e+00 2.534440654496e-02
-4.260749771353e-03 2.271756554085e-02 1.756195569912e+00 2.311367068894e-02
-6.557143026287e-03 2.033421501084e-02 1.882736834574e+00 2.136530890894e-02
-8.501021850616e-03 1.814739803982e-02 2.008881173433e+00 2.003984601039e-02
-1.019394688140e-02 1.610194950380e-02 2.135190418989e+00 1.905752688162e-02
-1.166252625857e-02 1.412166548946e-02 2.261108189787e+00 1.831491072673e-02
-1.292000881222e-02 1.215055607422e-02 2.386876338737e+00 1.773591386483e-02
-1.398560529782e-02 1.017338119272e-02 2.512701350127e+00 1.729435863046e-02
-1.483114937725e-02 8.165208449949e-03 2.638331458699e+00 1.693025755508e-02
-1.547424557245e-02 6.134851140068e-03 2.764145532875e+00 1.664598073252e-02
-1.593242879599e-02 4.095507282510e-03 2.889985280190e+00 1.645039413632e-02
-1.621818679129e-02 2.050504948759e-03 3.015827504891e+00 1.634729804408e-02
-1.631343908475e-02 1.065089570460e-06 3.141527364501e+00 1.631343911952e-02
-1.621818679129e-02 -2.050504948759e-03 -3.015827504891e+00 1.634729804408e-02
-1.593242879599e-02 -4.095507282510e-03 -2.889985280190e+00 1.645039413632e-02
-1.547424557245e-02 -6.134851140068e-03 -2.764145532875e+00 1.664598073252e-02
-1.483114937725e-02 -8.165208449949e-03 -2.638331458699e+00 1.693025755508e-02
-1.398560529782e-02 -1.017338119272e-02 -2.512701350127e+00 1.729435863046e-02
-1.292000881222e-02 -1.215055607422e-02 -2.386876338737e+00 1.773591386483e-02
-1.166252625857e-02 -1.412166548946e-02 -2.261108189787e+00 1.831491072673e-02
-1.019394688140e-02 -1.610194950380e-02 -2.135190418989e+00 1.905752688162e-02
-8.501021850616e-03 -1.814739803982e-02 -2.008881173433e+00 2.003984601039e-02
-6.557143026287e-03 -2.033421501084e-02 -1.882736834574e+00 2.136530890894e-02
-4.260749771353e-03 -2.271756554085e-02 -1.756195569912e+00 2.311367068894e-02
-1.529371420141e-03 -2.529822061283e-02 -1.631176557155e+00 2.534440654496e-02
