# New shock contour (moved by Vs, for hornung_shockfitted_v2_mesh.py)
# Source: RESULTS_SF_v2_RH_dirichlet_2/P1_CNEQ_SF-iter_5000.CFmesh
# dt=6.418191e-07, relax=0.5, max|Vs|=155.81 m/s
# x[m]  y[m]  theta[rad]  r[m]
-1.529372663026e-03 2.529822206942e-02 1.631176602638e+00 2.534440807389e-02
-4.235886295099e-03 2.269310476313e-02 1.755332313873e+00 2.308505439663e-02
-6.538591200400e-03 2.031709124979e-02 1.882155803843e+00 2.134332147859e-02
-8.481600186735e-03 1.813091896850e-02 2.008351761455e+00 2.001668714772e-02
-1.017121740930e-02 1.608405425399e-02 2.134684267849e+00 1.903025130765e-02
-1.163646289567e-02 1.410358379317e-02 2.260638823457e+00 1.828437432709e-02
-1.289227428999e-02 1.213421993485e-02 2.386475305414e+00 1.770452003855e-02
-1.395757458169e-02 1.015963720063e-02 2.512390028525e+00 1.726360669883e-02
-1.480264779826e-02 8.154783794409e-03 2.638058460910e+00 1.690026273680e-02
-1.545402980282e-02 6.129443707107e-03 2.763999748380e+00 1.662519525615e-02
-1.591880122234e-02 4.093040639273e-03 2.889924211672e+00 1.643658157985e-02
-1.621995153933e-02 2.050402270827e-03 3.015847275241e+00 1.634903597802e-02
-1.631343908475e-02 1.065089570460e-06 3.141527364501e+00 1.631343911952e-02
-1.621642204324e-02 -2.050607626691e-03 -3.015807730337e+00 1.634556011653e-02
-1.594605636964e-02 -4.097973925747e-03 -2.890046246242e+00 1.646420675404e-02
-1.549446134208e-02 -6.140258573028e-03 -2.764290953746e+00 1.666676656178e-02
-1.485965095624e-02 -8.175633105489e-03 -2.638603490855e+00 1.696025363068e-02
-1.401363601396e-02 -1.018712518481e-02 -2.513011566513e+00 1.732511223233e-02
-1.294774333446e-02 -1.216689221359e-02 -2.387275954790e+00 1.776731053345e-02
-1.168858962146e-02 -1.413974718575e-02 -2.261575993475e+00 1.834545114779e-02
-1.021667635349e-02 -1.611984475361e-02 -2.135695123239e+00 1.908480732396e-02
-8.520443514496e-03 -1.816387711113e-02 -2.009409363055e+00 2.006301047680e-02
-6.575694852175e-03 -2.035133877189e-02 -1.883316670440e+00 2.138730353732e-02
-4.285613247607e-03 -2.274202631856e-02 -1.757056690416e+00 2.314230416320e-02
-1.529370177256e-03 -2.529821915625e-02 -1.631176511673e+00 2.534440501604e-02
