Shock Velocity Report
Input: RESULTS_SF_v2_RH_dirichlet_2/P1_CNEQ_SF-iter_5000.CFmesh
dt=1.474312e-06, relax=0.5
max|Vs|=67.83 m/s
mean|Vs|=28.62 m/s

 fi        y       Vs   mflux_fs  mflux_int   imbal%  rho_int  u_n_int   T_int
  0  -0.0253     67.8    -18.690    -17.097     -8.5%  0.02864   -597.0    6847
  1  -0.0227    -40.6    -20.527    -21.462      4.6%  0.02821   -760.8    7603
  2  -0.0203      1.5    -21.159    -21.124     -0.2%  0.02962   -713.1    8025
  3  -0.0181      9.8    -21.957    -21.700     -1.2%  0.03122   -695.0    8444
  4  -0.0161     55.2    -22.625    -21.089     -6.8%  0.03298   -639.5    8901
  5  -0.0141     63.1    -23.659    -21.825     -7.8%  0.03423   -637.6    9478
  6  -0.0121     46.6    -24.811    -23.423     -5.6%  0.03498   -669.7   10060
  7  -0.0102     47.5    -25.855    -24.409     -5.6%  0.03558   -686.0   10627
  8  -0.0082     10.3    -27.043    -26.726     -1.2%  0.03576   -747.5   11178
  9  -0.0061     10.2    -27.817    -27.497     -1.2%  0.03646   -754.1   11557
 10  -0.0041     13.1    -28.335    -27.915     -1.5%  0.03708   -752.8   11803
 11  -0.0020      9.0    -28.675    -28.388     -1.0%  0.03721   -762.9   11966
 12   0.0000    -18.2    -28.792    -29.355      2.0%  0.03601   -815.3   12433
 13   0.0021    -14.4    -28.632    -29.064      1.5%  0.03516   -826.5   12729
 14   0.0041     -2.0    -28.335    -28.395      0.2%  0.03546   -800.7   12529
 15   0.0061     -7.2    -27.817    -28.034      0.8%  0.03500   -800.9   12175
 16   0.0082    -10.1    -27.043    -27.340      1.1%  0.03466   -788.9   11646
 17   0.0102     25.8    -25.855    -25.088     -3.0%  0.03482   -720.6   10931
 18   0.0121     32.8    -24.811    -23.843     -3.9%  0.03465   -688.1   10241
 19   0.0141     51.1    -23.659    -22.165     -6.3%  0.03442   -644.0    9542
 20   0.0161     51.7    -22.625    -21.159     -6.5%  0.03349   -631.8    8918
 21   0.0181      9.4    -21.957    -21.708     -1.1%  0.03169   -685.1    8449
 22   0.0203     -0.9    -21.159    -21.182      0.1%  0.03033   -698.4    7994
 23   0.0227    -49.4    -20.527    -21.719      5.8%  0.02926   -742.2    7525
 24   0.0253     67.8    -18.690    -17.097     -8.5%  0.02864   -596.9    6847
