# New shock contour after Vs displacement (dt=1.474312e-06, relax=0.5)
# max|Vs|=67.83 m/s, max|displacement|=0.000050 m
# x  y  x_old  y_old  Vs  dx  dy
25
-1.547695485445e-03 -2.531969632062e-02 -1.515244295480e-03 -2.528166369740e-02 6.781630e+01 -3.244833e-05 -3.802928e-05
-4.247456556292e-03 -2.270448762787e-02 -4.271101773360e-03 -2.272774987780e-02 -4.056081e+01 2.131415e-05 2.096893e-05
-6.557239735514e-03 -2.033430427568e-02 -6.557085276540e-03 -2.033416170650e-02 1.459703e+00 -7.906910e-07 -7.298259e-07
-8.504051027443e-03 -1.814996826353e-02 -8.498650825380e-03 -1.814538625060e-02 9.844441e+00 -5.533433e-06 -4.695058e-06
-1.021140724998e-02 -1.611569631043e-02 -1.018045551482e-02 -1.609132755120e-02 5.517561e+01 -3.195709e-05 -2.516029e-05
-1.168208073638e-02 -1.413523158722e-02 -1.164750793755e-02 -1.411124639195e-02 6.309050e+01 -3.821217e-05 -2.651004e-05
-1.293427612799e-02 -1.215895978339e-02 -1.290906769025e-02 -1.214411155385e-02 4.655554e+01 -2.957034e-05 -1.741747e-05
-1.399935338389e-02 -1.018012214023e-02 -1.397508990270e-02 -1.016822529493e-02 4.748386e+01 -3.142841e-05 -1.540994e-05
-1.483124719837e-02 -8.165244228722e-03 -1.483114834375e-02 -8.165208071940e-03 1.034659e+01 -7.162961e-06 -2.619904e-06
-1.547479343268e-02 -6.134997684943e-03 -1.547372941460e-02 -6.134713075130e-03 1.023494e+01 -7.288510e-06 -1.949574e-06
-1.593499903537e-02 -4.095972505722e-03 -1.593096148805e-02 -4.095241694130e-03 1.313206e+01 -9.525596e-06 -1.724170e-06
-1.621552587476e-02 -2.050220931773e-03 -1.620974792565e-02 -2.049995228550e-03 8.956680e+00 -6.574851e-06 -6.032897e-07
-1.630580986941e-02 1.180485397667e-06 -1.631926002395e-02 9.770448550000e-07 -1.824809e+01 1.345015e-05 2.034405e-07
-1.621552587476e-02 2.050220931773e-03 -1.622527760890e-02 2.050972273405e-03 -1.439162e+01 1.054864e-05 -1.128928e-06
-1.593499903537e-02 4.095972505722e-03 -1.593096148805e-02 4.095241694130e-03 -1.999673e+00 1.450502e-06 -2.625464e-07
-1.547479343268e-02 6.134997684943e-03 -1.547372941460e-02 6.134713075130e-03 -7.246630e+00 5.160474e-06 -1.380354e-06
-1.483124719837e-02 8.165244228722e-03 -1.483114834375e-02 8.165208071940e-03 -1.006101e+01 6.965252e-06 -2.547590e-06
-1.399935338389e-02 1.018012214023e-02 -1.397508990270e-02 1.016822529493e-02 2.583349e+01 -1.709856e-05 8.383747e-06
-1.293427612799e-02 1.215895978339e-02 -1.290906769025e-02 1.214411155385e-02 3.282078e+01 -2.084654e-05 1.227899e-05
-1.168208073638e-02 1.413523158722e-02 -1.164750793755e-02 1.411124639195e-02 5.107288e+01 -3.093343e-05 2.146035e-05
-1.021140724998e-02 1.611569631043e-02 -1.018045551482e-02 1.609132755120e-02 5.170401e+01 -2.994638e-05 2.357723e-05
-8.504051027443e-03 1.814996826353e-02 -8.498650825380e-03 1.814538625060e-02 9.370383e+00 -5.266971e-06 4.468968e-06
-6.557239735514e-03 2.033430427568e-02 -6.557085276540e-03 2.033416170650e-02 -8.894062e-01 4.817730e-07 -4.446876e-07
-4.247456556292e-03 2.270448762787e-02 -4.271101773360e-03 2.272774987780e-02 -4.943286e+01 2.597629e-05 -2.555557e-05
-1.547695485445e-03 2.531969632062e-02 -1.515244295480e-03 2.528166369725e-02 6.782824e+01 -3.245404e-05 3.803597e-05
